"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"169","IUU_20_legal",2020,0.35,41637.8578886344,600743.632827133,34553522.4119871,12.9066804337533,71.0731479134065,47.2244174453881,6,22,74.321557953991,13372.997705336
"170","IUU_20_legal",2020,0.4,41751.2770086345,602796.270527133,34552934.9570371,12.9418374858004,71.3159926393309,47.2236145686955,6,22,74.4722004176743,13432.525915336
"171","IUU_20_legal",2020,0.45,18119.1566536344,1051039.34392713,23723858.8781071,5.61647924547554,124.347010391433,32.4234791960469,9,50,154.426842042589,28296.2434364197
"172","IUU_20_legal",2020,0.5,10946.5596686344,1109583.21772713,21330059.6010801,3.39315600408547,131.273255089908,29.1518655240476,10,54,166.68556714341,30737.6955385113
"173","IUU_20_legal",2020,0.55,8480.73213663447,1150437.96532713,20050275.6717121,2.62881197742118,136.106723745205,27.4027804438126,10,56,174.412649010524,32577.1399155113
"174","IUU_20_legal",2020,0.6,2580.12549563445,1205965.93692713,17647410.9718141,0.799773497959489,142.67616122769,24.1187770273214,11,58,185.957068092267,35240.8236699579
"175","IUU_20_legal",2020,0.65,-52752.6179593655,1557384.52882713,-383777.289601892,-16.3519742986408,184.252008555591,-0.524509736348384,24,72,266.533891983257,61640.9095357133
"176","IUU_20_legal",2020,0.7,-68735.9993853655,1627237.41032713,-4724208.28394289,-21.3064173650427,192.516206306074,-6.45659164469101,26,76,284.042436727291,71881.4595843615
"177","IUU_20_legal",2020,0.75,-75981.7742003655,1671595.52342713,-7264817.7205229,-23.5524238786887,197.764153285852,-9.92885126465739,26,76,294.749710930391,77520.4103753615
"178","IUU_20_legal",2020,0.8,-92677.4687563655,1739846.45492713,-11652052.7534029,-28.7276659583892,205.838826548553,-15.924900412801,28,80,312.676595442398,89492.6993806164
"179","IUU_20_legal",2020,0.85,-151888.340222366,1949873.72422713,-26260407.9225229,-47.0815351285971,230.686862151626,-35.8901894641334,36,94,370.205326443862,140228.891628557
"180","IUU_20_legal",2020,0.9,-171336.772363366,2003427.53092713,-30427293.7803209,-53.1100560782769,237.022738916566,-41.5850866398746,40,NA,386.488534278136,162179.192987124
"181","IUU_20_legal",2025,0.05,11953.0885076345,139302.727787133,30092719.1220361,3.70515442886217,16.4807129626372,41.1278223082936,0,1,11.2398822623739,245.840731682052
"182","IUU_20_legal",2025,0.1,21504.5500886345,200858.244467133,32074731.2543023,6.66586539125032,23.7632609628467,43.8366450789495,0,3,19.5327840117022,673.260381682048
"183","IUU_20_legal",2025,0.15,30261.3513176345,263412.392587133,33761239.3058471,9.38025178900618,31.163955666854,46.1416014102187,2,5,27.9588468246627,1082.13359560861
"184","IUU_20_legal",2025,0.2,37011.1430416345,322929.450187133,34972742.2733194,11.4725161175186,38.2053363940514,47.7973666659308,3,6,36.2500624044562,1598.96176216597
