"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","X","Transition_period","Payoff_period","B_per_50","Loss"
"63","IUU_20",2025,0.15,27391.5314064219,244554.003994504,7137783.12306091,6.75151507277973,25.0112198918323,9.25284976877595,63,4,12,35.8024928886491,3368.8774663895
"64","IUU_20",2025,0.2,37844.8079528949,330442.849317053,9576927.63591985,9.32805791429833,33.7953115915377,12.4147611567672,64,4,12,47.8428241940768,4577.17527519442
"65","IUU_20",2025,0.25,49778.3953773862,504138.335970031,12379991.5537041,12.2694705054139,51.5596333361699,16.0484284840552,65,4,14,74.5975674240172,7176.0314985705
"66","IUU_20",2025,0.3,55277.3313748892,666901.550209939,13621901.4071343,13.6248583703906,68.205881098064,17.6583408478852,66,5,16,101.460918418265,9230.4092153087
"67","IUU_20",2025,0.35,49657.8035143683,1145569.98306941,11078377.2777189,12.2397468010784,117.160636423992,14.3611200936287,67,7,36,189.956051841538,17889.0674339063
"68","IUU_20",2025,0.4,57045.6431462116,946177.241178996,13338857.5237725,14.0607151102098,96.768184733164,17.2914254505461,68,6,23,150.894064643955,13750.6655434763
"69","IUU_20",2025,0.45,46086.8671573977,1183143.29006556,10414288.3722654,11.3595758358154,121.003363298197,13.5002484799453,69,7,38,197.523783708572,18895.867610784
"70","IUU_20",2025,0.5,-12159.6634488496,1747889.67520314,-1909900.39541627,-2.99713622567264,178.761550819472,-2.47584174630039,70,20,NA,317.180992099292,45183.6300383717
"71","IUU_20",2030,0.05,4925.59859501541,89043.7321195524,1244177.73188213,1.1368183367307,8.61464137247479,1.61337277069932,71,5,12,13.9910774664391,856.31354079477
"72","IUU_20",2030,0.1,18617.9187542955,167177.596571927,3614515.14046092,4.29697853435809,16.1737946703065,4.68707979371919,72,4,9,24.166558810416,1627.62439086067
"73","IUU_20",2030,0.15,30382.8037229975,248765.936190908,5623933.24742974,7.01229053227091,24.0671552613645,7.29276897755424,73,4,9,35.1414963944169,2396.79238594678
"74","IUU_20",2030,0.2,41021.2412467577,332130.355571844,7431993.68070108,9.46762070542254,32.1323447934827,9.63734997757422,74,4,9,46.5573308695418,3214.07971055896
"75","IUU_20",2030,0.25,58300.6772781866,581935.306875513,10474051.8171763,13.4556800955589,56.3000208030679,13.5821029164078,75,4,11,84.5666064951627,5985.40459081053
"76","IUU_20",2030,0.3,60331.5340333721,588833.258838039,10744901.7753204,13.9243977862178,56.9673713391161,13.9333243988514,76,4,11,85.167791325641,6040.73212067917
"77","IUU_20",2030,0.35,63015.8749642903,845492.240544724,11555124.6584149,14.5439383219392,81.7981486414318,14.9839713476636,77,4,14,128.82493769285,9147.82973929233
"78","IUU_20",2030,0.4,54497.6046961977,1153913.25516789,10293023.4345416,12.5779385249205,111.636705151463,13.3473565005363,78,5,25,186.692796762434,12899.452942413
