,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
38,Panulirus,IUU,0.282239296,0.163449697,0.487361077,288.1313511,131.3475997,632.0608498,20.33049743,12.71848484,32.4982992,144.0656755,65.67379984,316.0304249,2015,14.42,16.60953333,113.5410099,87.52916642,152.2355993,0.788119789,0.607564335,1.056709717,0.394059895,0.303782168,0.528354859,0.12700257,0.094721603,0.164745085,0.141119648,0.081724848,0.243680538,0.899963763,0.671214847,1.167414231,0.899963763
39,Panulirus,IUU_20,0.282239296,0.163449697,0.487361077,344.2887147,156.3860443,757.9622568,24.29295113,15.09096701,39.10600787,172.1443574,78.19302216,378.9811284,2015,17.304,19.93144,134.8709942,104.7666243,182.2658381,0.783476126,0.608597493,1.058796471,0.391738063,0.304298746,0.529398236,0.128300381,0.094938252,0.165167105,0.141119648,0.081724848,0.243680538,0.909160299,0.672750059,1.170404737,0.909160299
40,Panulirus,IUU_40,0.282239296,0.163449697,0.487361077,401.303437,182.9567455,880.232364,28.3158999,17.71755654,45.25399343,200.6517185,91.47837274,440.116182,2015,20.188,23.25334667,157.2818168,122.0236323,213.5551499,0.78385482,0.608136492,1.064307605,0.39192741,0.304068246,0.532153802,0.128355588,0.094532958,0.165443362,0.141119648,0.081724848,0.243680538,0.9095515,0.669878073,1.17236235,0.9095515
41,Panulirus,IUU_60,0.282239296,0.163449697,0.487361077,460.982461,210.496113,1009.542772,32.52684133,20.41532266,51.82359471,230.4912305,105.2480565,504.7713859,2015,23.072,26.57525333,182.1771964,140.5077571,243.3519468,0.790386671,0.609601314,1.055796988,0.395193336,0.304800657,0.527898494,0.126645927,0.094809186,0.164204457,0.141119648,0.081724848,0.243680538,0.897436531,0.671835477,1.16358324,0.897436531
42,Scomberomorus,IUU,0.835270211,0.523614266,1.332424213,17517.78045,10029.02102,30598.46332,3658.020045,2730.335699,4900.903084,8758.890225,5014.510511,15299.23166,2015,2331.932,1913.477333,7586.894827,5423.549847,8703.324046,0.86619362,0.61920514,0.993656025,0.43309681,0.30960257,0.496828013,0.307363164,0.26793579,0.42996415,0.417635106,0.261807133,0.666212107,0.735961034,0.641554759,1.029521092,0.735961034
43,Scomberomorus,IUU_20,0.860707976,0.555437049,1.333757304,20474.32533,11615.88501,36088.33915,4405.603781,3291.136686,5897.459304,10237.16266,5807.942504,18044.16958,2015,2798.3184,2296.1728,8789.027761,6351.766651,10172.60186,0.85854138,0.620461632,0.993693486,0.42927069,0.310230816,0.496846743,0.318387707,0.275083842,0.440557494,0.430353988,0.277718524,0.666878652,0.739827482,0.639203654,1.023709565,0.739827482
44,Scomberomorus,IUU_40,0.847893704,0.549772897,1.307674018,24215.96148,13840.5531,42369.17314,5133.14032,3854.517536,6835.908591,12107.98074,6920.276548,21184.58657,2015,3264.7048,2678.868267,10336.45026,7488.119188,12031.33465,0.853689024,0.618444921,0.993669788,0.426844512,0.30922246,0.496834894,0.315843904,0.271350178,0.43598462,0.423946852,0.274886449,0.653837009,0.745008253,0.640057065,1.028394522,0.745008253
45,Scomberomorus,IUU_60,0.860707976,0.555437049,1.333757304,27170.33911,15355.90206,48074.50089,5846.431898,4334.839447,7885.128471,13585.16955,7677.95103,24037.25045,2015,3731.0912,3061.563733,11644.14795,8359.703505,13499.97258,0.857122018,0.61535511,0.993728678,0.428561009,0.307677555,0.496864339,0.320426296,0.276377687,0.446318604,0.430353988,0.277718524,0.666878652,0.744564487,0.642210122,1.037096475,0.744564487
46,Squatina,IUU,0.095607883,0.07380159,0.123857323,6377.023059,3004.33783,13535.90222,152.4234193,57.90910799,401.1959353,3188.51153,1502.168915,6767.951109,2015,14.0771,25.07017333,1531.477161,662.2731557,2510.663713,0.480311,0.207706056,0.787409326,0.2401555,0.103853028,0.393704663,0.009191845,0.005606924,0.021255731,0.045921518,0.035447716,0.059490034,0.200164214,0.122097962,0.462870825,0.192282147
47,Squatina,IUU_20,0.095607883,0.07380159,0.123857323,7694.965662,3613.704533,16385.539,183.9248449,69.44185565,487.1463799,3847.482831,1806.852266,8192.769498,2015,16.89252,30.084208,1853.128567,800.8221547,3021.333996,0.481647001,0.20814184,0.785275498,0.240823501,0.10407092,0.392637749,0.009115676,0.00559108,0.021093972,0.04604925,0.035546315,0.059655508,0.197954932,0.121415223,0.458074165,0.190688799
48,Squatina,IUU_40,0.095607883,0.07380159,0.123857323,8769.954879,4104.510617,18738.43577,209.6192059,78.61536006,558.9265435,4384.977439,2052.255308,9369.217887,2015,19.70794,35.09824267,2087.689072,908.2951028,3449.624336,0.4761003,0.207137919,0.786691467,0.23805015,0.10356896,0.393345734,0.009440074,0.005713068,0.021697728,0.045518942,0.035136959,0.058968508,0.207387824,0.125509694,0.476674698,0.19747481
49,Squatina,IUU_60,0.095607883,0.07380159,0.123857323,10276.77727,4822.009251,21902.1046,245.6352307,92.58419435,651.6951082,5138.388634,2411.004626,10951.0523,2015,22.52336,40.11227733,2460.100062,1064.116642,4046.099907,0.478768781,0.207091506,0.787425825,0.23938439,0.103545753,0.393712912,0.009155465,0.005566684,0.021166251,0.04577407,0.035333897,0.059299019,0.200014223,0.121612173,0.462407017,0.191521131
