"","Name","Adjusted","Year","Catch","Biomass","Biomass_MPA","Fishing","PV","Implementation_year","Reserve_size"
"13672","Squatina","IUU_40_legal",2105,35.0136284280536,667.008358681418,29.0287546631554,0.0542932327278761,-9.62949240797496,0,0
"13682","Squatina","IUU_40_legal",2106,35.4113366236668,690.518087568423,30.0519174813954,0.0530897943972847,-8.29729356233992,0,0
"13692","Squatina","IUU_40_legal",2107,35.8736228490202,715.465315329853,31.1376414379048,0.0519517497004965,-7.13311539889371,0,0
"13702","Squatina","IUU_40_legal",2108,36.4016631662472,741.887271184367,32.2875467790277,0.0508783058888953,-6.11655044991456,0,0
"13713","Squatina","IUU_40_legal",2109,36.9969866123722,769.820266798557,33.5032138184847,0.0498687442814719,-5.22958693350542,0,0
"13722","Squatina","IUU_40_legal",2110,37.6614762178962,799.299044287105,34.7861545618009,0.0489224275356098,-4.45634084476822,0,0
"13732","Squatina","IUU_40_legal",2111,38.3973722397966,830.356060833481,36.1377815724077,0.0480388066446935,-3.78281554602397,0,0
"13742","Squatina","IUU_40_legal",2112,39.2072772939301,863.020705941854,37.5593739057998,0.0472174277316352,-3.19668655254441,0,0
"13752","Squatina","IUU_40_legal",2113,40.0941630487537,897.318448184419,39.0520399752743,0.0464579386945266,-2.68710928230972,0,0
"13762","Squatina","IUU_40_legal",2114,41.0613781047939,933.269909374028,40.616677259158,0.0457600957473627,-2.24454764297551,0,0
"13772","Squatina","IUU_40_legal",2115,42.112656630939,970.889865398843,42.2539288163077,0.0451237698847327,-1.86062145427764,0,0
"13782","Squatina","IUU_40_legal",2116,43.2521272576514,1010.18617453083,43.9641366452095,0.044548953284092,-1.52797084043838,0,0
"13792","Squatina","IUU_40_legal",2117,44.4843216366589,1051.15863588709,45.7472920032739,0.0440357656422287,-1.24013586810531,0,0
"13802","Squatina","IUU_40_legal",2118,45.814181964448,1093.79778290173,47.6029828977348,0.0435844604233164,-0.991449846163483,0,0
"13813","Squatina","IUU_40_legal",2119,47.2470666307896,1138.08361916819,49.5303390684624,0.0431954309739484,-0.776944841047614,0,0
"13822","Squatina","IUU_40_legal",2120,48.7887529914663,1183.98430684192,51.5279749061679,0.0428692164351909,-0.592268092660056,0,0
"13832","Squatina","IUU_40_legal",2121,50.4454360745573,1231.45482094397,53.5939308865791,0.0426065073523752,-0.433608140203411,0,0
"13842","Squatina","IUU_40_legal",2122,52.2237218108672,1280.43558635573,55.7256142513306,0.0424081508494442,-0.29762958330288,0,0
"13852","Squatina","IUU_40_legal",2123,54.1306131311302,1330.85111801044,57.9197398279732,0.0422751551955787,-0.181415511310579,0,0
"13862","Squatina","IUU_40_legal",2124,56.173486996776,1382.60868871181,60.1722720523383,0.0422086935469931,-0.0824167325653549,0,0
"13872","Squatina","IUU_40_legal",2125,58.3600601307539,1435.59705307384,62.4783694333491,0.0422101065957633,0.0015929742267886,0,0
"13882","Squatina","IUU_40_legal",2126,60.6983408966308,1489.68526018421,64.8323328791457,0.0422809038000364,0.0725562821172783,0,0
